track,track_id,artist,album,release_date,total_tracks,award
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,YG,STAY DANGEROUS,2018-08-03,15,1
Burning House,2zhk0kypGeOPsaaZcjyc14,Cam,Untamed,2015-12-11,11,2
Hold My Hand,0pCyoA5o2uxUwIovECCziF,Michael Jackson,Michael,2010-12-14,10,0
Losin Control,4cxMGhkinTocPSVVKWIw0d,Russ,There's Really A Wolf,2017-05-05,20,3
Hills and Valleys (The Valleys Version),398Dfg7EisARPcvixgrtuI,Tauren Wells,Hills and Valleys (Deluxe Edition),2017-06-23,15,0
Song for Another Time,7px4t7HGiuMUvFkEOpZEwp,Old Dominion,Meat and Candy,2015-11-06,11,1
Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,Luke Combs,This One's for You,2017-06-02,12,3
When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,Luke Combs,This One's for You,2017-06-02,12,2
Written in the Sand,2A69wys3S9uiPSmn6UZWJn,Old Dominion,Happy Endings,2017-08-25,12,1
No Such Thing as a Broken Heart,0OlS52TmtK2gPaEtdmr7DN,Old Dominion,Happy Endings,2017-08-25,12,1
One Number Away,4gB7HrYHbJVJ5RFOjxmoq4,Luke Combs,This One's for You,2017-06-02,12,1
Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,Luke Combs,This One's for You Too (Deluxe Edition),2018-06-01,17,0
Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,Daniel Caesar,Freudian,2017-08-25,10,1
The Champion,0stPNUkU1LZnvxIcfrKnEZ,Carrie Underwood,The Champion,2018-01-12,1,0
GDFR (feat. Sage The Gemini & Lookas),26rdOwwjC2UnweK3xeS58u,Flo Rida,MY HOUSE,2015-04-07,7,4
1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,Everybody,2017-05-05,13,5
Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,OneRepublic,Native,2014-01-01,15,10
Blessings,1bzM1cd6oqFozdr4wK6HdR,Big Sean,Dark Sky Paradise,2015-02-24,12,3
PROUD,365wwIjijQdlRJEjUWTidq,2 Chainz,The Play Don’t Care Who Makes It,2018-02-08,4,0
Roll In Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,Kodak Black,Project Baby 2,2017-08-18,19,2
"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",5de7ci7TFqbQ1PFgKAD7MR,PnB Rock,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",2017-03-30,1,1
Wanted You (feat. Lil Uzi Vert),790MhTXPFrYkrqCKvpg4t1,NAV,Wanted You (feat. Lil Uzi Vert),2017-11-03,1,1
Codeine Dreaming (feat. Lil Wayne),4DTpngLjoHj5gFxEZFeD3J,Kodak Black,Project Baby 2: All Grown Up (Deluxe),2017-11-24,27,1
Coming Over,6m3ZWIXhjoV76syT1j2oE9,Dillon Francis,This Mixtape is Fire.,2015-08-14,7,0
Blood On The Leaves,42GcjriRK6srwHkfbkBqVl,Kanye West,Yeezus,2013-01-01,10,1
Sit Next to Me,4BdGO1CaObRD4La9l5Zanz,Foster The People,Sacred Hearts Club,2017-07-21,12,1
Love$ick (feat. A$AP Rocky),3sTN90bIP2cJ1783ctHykO,Mura Masa,Mura Masa,2017-07-14,13,0
No More Parties In LA,0zLClc0emc6qUeV1p5nc99,Kanye West,The Life Of Pablo,2016-06-10,20,0
One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa),2018-04-06,1,1
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),2018-07-22,1,1
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),2018-07-22,1,1
Pa Mi (with Ozuna),0CYLDwvvpJQySLA5CvqvSl,Tory Lanez,Pa Mi (with Ozuna),2018-06-08,1,0
Solo a Solas (feat. Maluma),4iKuG50iHNBaybQOo11yrN,Cosculluela,Solo a Solas (feat. Maluma),2017-10-27,1,1
Madura (feat. Bad Bunny),0r9d60ZYPAlFHq8qnUtkXN,Cosculluela,Madura (feat. Bad Bunny),2018-04-13,1,1
Location,152lZdxL1OR0ZMW6KquMif,Khalid,American Teen,2017-04-27,15,5
A Donde Voy (feat. Daddy Yankee),5rKEC4enuOXJ37zx9OCz2G,Cosculluela,A Donde Voy (feat. Daddy Yankee),2016-05-13,1,1
Flatliner (feat. Dierks Bentley),0WyFpxYlBCgH1gMXd26OOr,Cole Swindell,You Should Be Here,2016-05-06,12,0
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,American Teen,2017-04-27,15,4
Manicomio,7lKP7GE00s56ude4dGvULy,Cosculluela,Blanco Perla,2016-10-14,16,2
These Days,5tsI3xxDHDgzHhn30LTQNz,Mike Stud,This Isn't The Album,2015-10-30,8,0
Bounce Back,0SGkqnVQo9KPytSri1H6cF,Big Sean,I Decided.,2017-02-03,14,4
Through The Storm,2u6XJ2PPaCyyRJqC0x6TMH,YoungBoy Never Broke Again,Through The Storm,2018-06-08,1,0
Blue Cheese,67gmXPQZL1ISSh13OJJ1Pu,2 Chainz,Pretty Girls Like Trap Music,2017-06-16,16,0
Impatient,3WjyiSbfR74pjWXQ3IaFKJ,Jeremih,Late Nights: The Album,2015-12-04,15,1
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Purpose (Deluxe),2015-11-13,19,7
Barbie Tingz,2qsQ8eVDPmobZpvDxQCVQu,Nicki Minaj,Barbie Tingz,2018-04-12,1,0
Playinwitme (feat. Kehlani),4F1yvJfQ7gJkrcgFJQDjOr,KYLE,Light of Mine,2018-05-18,15,0
S&M,2u02eLj96Atd6TBxkH9YvN,Rihanna,Loud,2010-11-15,11,5
Voice of Truth,4G29gmjS7Z2nEFeM7FA6wx,Casting Crowns,Casting Crowns,2003-10-07,10,1
Bounce Out With That,2iWEpiPiIPf5D4f2UGBlrZ,YBN Nahmir,Bounce Out With That,2018-05-18,1,0
