track,track_id,artist,album,release_date,total_tracks,award
Born This Way,6r2BECwMgEoRb5yLfp0Hca,Lady Gaga,Born This Way (Special Edition),2011-01-01,22,4
"Eh, Eh (Nothing Else I Can Say)",0WfIxPOaRIDCtDWCmJushk,Lady Gaga,The Fame,2008-01-01,14,0
Judas,0QkWikH5Z3U0f79T9iuF6c,Lady Gaga,Born This Way,2011-01-01,14,2
CoCo,2JI71GHwq2LN8mtq3iCLYo,O.T. Genasis,CoCo,2014-11-10,1,1
Felt Good On My Lips,2D2tn77f5ZrADmf8h4zR3t,Tim McGraw,Number One Hits,2010-11-30,24,1
I Drive Your Truck,6aPc6SSWgTsiXrrUpJCPlj,Lee Brice,Hard 2 Love,2012-04-24,13,1
Secrets,3V3iy4K6paycRmTyrjQVwi,Mary Lambert,Heart On My Sleeve (Deluxe),2014-10-14,14,0
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",5pfJsMwoRYKampPay8amX0,Macklemore & Ryan Lewis,This Unruly Mess I've Made,2016-02-26,13,1
Am I Wrong,1fidCEsYlaVE3pHwKCvpFZ,Nico & Vinz,Black Star Elephant,2014,21,3
Get Low - W&W Remix,0NVE55chpvHCfkteBzVFHk,Dillon Francis,Get Low (Remixes),2015-06-02,5,1
Walking On A Dream,0mBkoM8r7KAQzZij5swTUL,Empire of the Sun,Walking On A Dream,2009-02-23,10,1
Omen - Radio Edit,78EQ5LZGgviMU9k0zrqv1r,Disclosure,Omen (Radio Edit),2015-07-27,1,0
Amnesia,1JCCdiru7fhstOIF4N7WJC,5 Seconds of Summer,5 Seconds Of Summer,2014-01-01,16,2
Booty,6dshconh2KBbGxVh7GtSTC,Jennifer Lopez,Booty,2014-09-23,1,1
Alive,5WBnKCEsPwsvWHUZmLjS3s,Empire of the Sun,Ice On The Dune,2013-01-01,12,0
Immortals,3Te8uLyit6X3ncNW8Fp3K2,Fall Out Boy,American Beauty/American Psycho,2015-01-20,11,1
Somebody To You,2BWWsCwuHAZFE1scLyP6Qe,The Vamps,Meet The Vamps,2014-11-04,12,0
Sippin’ On Fire,0H9Q7Vzu8nYRDBZYKbtU8d,Florida Georgia Line,Anything Goes,2014-10-14,12,1
Something Big,4eQznxonJdR6NEksFNHMCT,Shawn Mendes,Handwritten,2015-04-14,13,1
Burnin' It Down,5HJqpDspKDKwQpLjvkcIsD,Jason Aldean,"Old Boots, New Dirt",2014-10-07,15,2
Young Volcanoes,3nSiB5WCF2pmRQrYSsteHv,Fall Out Boy,Save Rock And Roll,2013-01-01,11,0
Darth Vader Vs Adolf Hitler 2,5OIryHYVymgS9Ds22yMMF2,Epic Rap Battles of History,Darth Vader Vs Adolf Hitler 2 - Single,2011-12-07,1,0
Fly,1ewLdzcpSQkU9wpFdqFauw,Maddie & Tae,Start Here,2015-06-02,11,0
Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB,Tove Lo,Queen Of The Clouds,2014-01-01,16,5
Hell Of A Night,4x7Di9FZJXJoxHjLxjImmp,Dustin Lynch,Where It's At,2014-09-09,15,0
Hicktown,0WYbR2GSfl4ehvmLmcpAqi,Jason Aldean,Jason Aldean,2005-07-26,11,1
Sangria,0p1HtkrNYxv0iDfEKwXSTp,Blake Shelton,BRINGING BACK THE SUNSHINE,2014-09-30,12,1
Brother (feat. Gavin DeGraw),62M9yafZsSRzlsphzeJPGo,NEEDTOBREATHE,Brother,2015-02-02,2,0
Left Hand Free,4iEOVEULZRvmzYSZY2ViKN,alt-J,This Is All Yours,2014-09-22,14,0
You Found Me,4IoYz8XqqdowINzfRrFnhi,The Fray,The Fray,2009-01-30,10,4
Stay,3grPZ1iQg2tEdh0ZCh3HTt,Florida Georgia Line,Here's To The Good Times,2012-01-01,11,2
Just What I Am,4LoMziEaxdkrSMXtavIJqL,Kid Cudi,Indicud,2013-01-01,18,1
Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn,Ariana Grande,My Everything (Deluxe),2014-08-25,15,3
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",2PIvq1pGrUjY007X5y1UpM,The Weeknd,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",2014-12-23,1,5
Focus,1cdzfFjEbUbgTm5nv3FgXR,Ariana Grande,Focus,2015-10-30,1,1
Southern Girl,29AR5X5yKPd4DBIAiqUMDy,Tim McGraw,Two Lanes Of Freedom (Accelerated Deluxe),2013-01-01,15,1
Goodnight Kiss,27aDju7VAODvQYHWrrv6o9,Randy Houser,How Country Feels,2013-01-22,15,0
"Flex (Ooh, Ooh, Ooh)",2LLFl56eIFGFlnrplUC26f,Rich Homie Quan,Summer Sampler,2015-06-02,6,2
Ghost Town,44aN5xKL3kGHvQ5bXVk6B8,Adam Lambert,The Original High (Deluxe Version),2015-06-11,14,0
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,The Fray,How To Save A Life,2005-09-13,12,3
Nena Fichu,2mIhnz6uEyGqXDaYUtr87x,Farruko,El Talento del Bloque,2016-02-22,14,0
Passion Whine,40LW0IOX1DDxqvnTLpAKrq,Farruko,Farruko Presents Los Menores,2016-02-22,15,3
Salgo,7zKyzqeMTFi4i2rAnPaJbB,Farruko,Farruko Presents Los Menores,2016-02-22,15,0
Su Hija Me Gusta,62uJHxcSYw1Kn8qdB0inJo,Farruko,El Talento del Bloque,2016-02-22,14,2
Titerito,3uJJIxpIg4TL5agQuNdru6,Farruko,TMPR The Most Powerful Rookie,2016-02-22,12,1
Traime a Tu Amiga - Remix,5rKgNHzZDpRIDhFWULA9M7,Farruko,El Talento del Bloque,2016-02-22,14,2
Va a Ser Abuela,4su0VseQhGHZq9gKpUttrX,Farruko,TMPR The Most Powerful Rookie,2016-02-22,12,0
Dime Qué Hago,6qDGsIVH2vd8kTSsa55XOZ,Farruko,TMPR The Most Powerful Rookie,2016-02-22,12,0
Lejos de Aquí,1v7OKYgEFT2MAdo3AJ9GOc,Farruko,Farruko Presents Los Menores,2016-02-22,15,3
Confident,0Mn3amMRMoabaoTf1Publ4,Demi Lovato,Confident (Deluxe Edition),2015-01-01,15,1
Where I Come From,10ps1I1sIMRNZW11eceN7W,Montgomery Gentry,Rebels On The Run,2011-10-18,11,0
Hope You Get Lonely Tonight,5BtS8w1kkjLV1BbvB0t12u,Cole Swindell,Cole Swindell,2014-02-18,12,1
Vivir Mi Vida,3QHMxEOAGD51PDlbFPHLyJ,Marc Anthony,3.0,2013-07-23,10,16
Hit the Quan - Original Version,4OjuzM3rTWp3q60mEldNSF,iLoveMemphis,Hit the Quan,2015-10-09,2,1
Umbrella,49FYlytm3dAAraYgpoJZux,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,15,6
19 You + Me,7ongSdLv28Z27WeCrzZXwB,Dan + Shay,Where It All Began,2014-04-01,15,1
Honest,5ik5nMy8vdS2rXe7SAGt2K,Future,Honest,2014-04-22,18,0
Monster,2UREu1Y8CO4jXkbvqAtP7g,Skillet,Awake,2009-08-21,12,2
Break The Rules,38tKqQuqodiUYOsw6HWyeQ,Charli XCX,Break The Rules,2014-08-19,1,0
Moneygrabber,4PwwyZBEkHcm4OTJThCzXi,Fitz and The Tantrums,Pickin' up the Pieces,2010-08-24,10,0
Lazy Eye,7eZyj92v6bZsoQ85MxWZsO,Silversun Pickups,The Singles Collection,2014-02-25,11,1
I Bet,6xSsJNkReuJzerqcIlBzBi,Ciara,I Bet,2015-01-26,1,1
Panic Switch,597i9UhHbW8hHgBUp8Tm54,Silversun Pickups,Swoon,2009-04-14,10,0
I Miss The Misery,3gmEzilP9BzF45wIMvA16l,Halestorm,The Strange Case of... (Deluxe),2012-04-09,16,0
I Love It (feat. Charli XCX) - Original Version,3VZQshi4COChhXaz7cLP02,Icona Pop,I Love It,2012-06-19,1,4
A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,Coldplay,Ghost Stories,2014-05-19,9,2
Chasing Cars,11bD1JtSjlIgKgZG2134DZ,Snow Patrol,Eyes Open,2006-01-01,11,5
Boom Clap,0Y1MWB026LYxGvhq4EcMiC,Charli XCX,SUCKER,2014-12-15,15,2
Sunshine & Whiskey,6aNwDe5YH5YUPlpHkku52w,Frankie Ballard,Sunshine & Whiskey,2014-04-03,11,1
Love Song,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,Little Voice,2007-07-03,12,4
Brave,6Uy6K3KdmUdAfelUp0SeXn,Sara Bareilles,The Blessed Unrest,2013-07-12,12,3
Lips Are Movin,6gj08XDlv9Duc2fPOxUmVD,Meghan Trainor,Title (Deluxe),2015-01-09,15,4
Magic,23khhseCLQqVMCIT1WMAns,Coldplay,Ghost Stories,2014-05-19,9,1
Come with Me Now,2kWowW0k4oFymhkr7LmvzO,KONGOS,Lunatic,2014-01-27,12,2
Flaws,67wABU4SjBlnDHB0KiU3HL,Bastille,Bad Blood,2013-01-01,15,0
Nobody Love,7fpU0bRJt0SDC8jIgVpbT6,Tori Kelly,Unbreakable Smile,2016-01-29,16,0
Should’ve Been Us,5SUKnxEQaFFeudmI4qYLd9,Tori Kelly,Unbreakable Smile,2016-01-29,16,0
Nirvana,2QXmZCQwDsXxSgAGEEY5ep,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),2015-11-06,23,0
La La La,36pLU2ywVeBKEF0rrKtmCB,Naughty Boy,Hotel Cabana (Deluxe Version),2014-01-01,21,2
Style,4lIxdJw6W3Fg4vUIYCB0S5,Taylor Swift,1989,2014-10-27,13,3
On My Mind,4nS1sut0R2mgmFitKIShVe,Ellie Goulding,Delirium (Deluxe),2015-11-13,23,1
Spectrum,1dFkD1JfRMzwO6hwUsE8aS,Zedd,Clarity,2012-01-01,10,0
Chains,5Eg4TsPcqNbIjd8ADMZosg,Nick Jonas,Nick Jonas X2,2015-11-20,21,2
Fight Song,37f4ITSlgPX81ad2EvmVQr,Rachel Platten,Wildfire,2016-01-01,12,3
"Dayum, Baby",4nIwj4uuK2egtQaym18w3p,Florida Georgia Line,Here's To The Good Times,2012-01-01,11,0
Make Me Wanna,69DR48pXzSabFUfQfDDJDb,Thomas Rhett,It Goes Like This,2013-01-01,12,1
Beer With Jesus,38qDc4DgEnnkr9UaRI5owP,Thomas Rhett,It Goes Like This,2013-01-01,12,0
Hold Back The River,7tmtOEDxPN7CWaQWBsG1DY,James Bay,Chaos And The Calm,2014-12-15,12,0
Versace (Remix),0XGLsSU6wtfnKXiMNvQr61,Migos,Versace (feat. Drake) [Remix] - Single,2015-01-06,1,0
Nasty Freestyle,0PT7nlpo11hYYyfnBgtilT,T-Wayne,Nasty Freestyle,2015-05-04,1,1
Poker Face,0WfKDYeUAoLA3vdvLKKWMW,Lady Gaga,The Fame,2008-01-01,14,10
Worth It (feat. Kid Ink),5GFUsupBFXAiH5XQaaFAty,Various Artists,Single and Loving It,2017-02-03,30,3
The Diary of Jane - Single Version,0faXHILILebCGnJBPU6KJJ,Breaking Benjamin,Phobia (Clean Version),2006-01-01,13,2
Blow Me Away - Soundtrack Version,5JBH2osD5Y5AneMKPOfY1s,Breaking Benjamin,Blow Me Away,2010-01-01,1,0
Give Me A Sign,6BWrIaoodtt7EX6kToWZw0,Breaking Benjamin,Dear Agony,2009-01-01,11,0
Breath,4JXfNOePhdgMOI7KZ1L25U,Breaking Benjamin,Phobia (Clean Version),2006-01-01,13,1
"White Walls (feat. ScHoolboy Q, Hollis)",6I3KeXBT0E9MoMqYz8srVq,Macklemore & Ryan Lewis,The Heist,2012-10-10,15,2
Alone Together,5MsZIaCYY6Tsdph0LiB0hE,Fall Out Boy,Save Rock And Roll,2013-01-01,11,1
Levels,6pf9datdAtxQj4EU8UYHSx,Nick Jonas,Nick Jonas X2,2015-11-20,21,0
Uma Thurman,5PUawWFG1oIS2NwEcyHaCr,Fall Out Boy,American Beauty/American Psycho,2015-01-20,11,2
Wing$,5n5uyFpfopa4mNdSN0gTaH,Macklemore & Ryan Lewis,The Heist,2012-10-09,15,0
Thrift Shop (feat. Wanz),4YMqbFcDIFiCBd02PzUBcM,Macklemore & Ryan Lewis,The Heist,2012-10-10,15,10
Disturbia,2VOomzT6VavJOGBeySqaMc,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,15,6
Same Love - feat. Mary Lambert,01uqI4H13Gsd8Lyl1EYd8H,Macklemore & Ryan Lewis,The Heist,2012-10-09,15,3
Paranoid (feat. B.o.B),0Yp3wCUpjrG7NWWPDpmQXm,Ty Dolla $ign,Beach House EP,2014-01-21,7,1
Five More Hours - Deorro x Chris Brown,6YwLgicpvVuMt1eE2OldwQ,Deorro,Five More Hours (Deorro x Chris Brown),2015-03-03,1,0
"Lord, I Need You",4EHWldZTas5KUyFtT0rQlY,Matt Maher,All The People Said Amen,2013-04-19,13,0
Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,Milky Chance,Sadnecessary,2014-06-20,14,2
Praise You In This Storm,4Zyf0pjpdBBIfp4oax9PG5,Casting Crowns,Lifesong,2005-08-30,11,1
Like a Cowboy,2eQQ7YHhROyqSPiMrTOuum,Randy Houser,How Country Feels,2013-01-22,15,0
Team,3G6hD9B2ZHOsgf4WfNu7X1,Lorde,Pure Heroine,2013-01-01,10,4
Do The John Wall,7FFqcNFMdRjWYE9PfN4Zu7,Troop 41,Do The John Wall,2011,1,1
Dark Horse,5jrdCoLpJSvHHorevXBATy,Katy Perry,PRISM (Deluxe),2013-01-01,16,10
Elastic Heart,5S9lfZu1YF8xKkgSsqL2Bd,Sia,1000 Forms Of Fear (Deluxe Version),2015-05-01,20,2
This Is Amazing Grace,5C64H6dEsQ15bS9gp0D3Xr,Phil Wickham,The Ascension,2013-09-24,11,0
Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,Miley Cyrus,Bangerz (Deluxe Version),2013-10-04,16,5
Breathe Into Me,5BrxQCdse2b424hlurCvGz,Red,End Of Silence,2006-06-06,11,0
Where I Belong,1N2fNKIlJJ6PQgcVD1GrBP,Building 429,Listen To The Sound,2011-05-09,10,0
Give Me Your Eyes,7HQn99HBIBHWkZfTMR8Kki,Brandon Heath,What If We,2008,11,1
Ay Vamos,6Ges5C2IE738iJh4HyQizQ,J Balvin,La Familia B Sides,2014-09-16,21,10
Burn,0xMd5bcWTbyXS7wPrBtZA6,Ellie Goulding,Halcyon Days,2013-01-01,21,3
Animals - Extended,6JEntXLt4z98CcDtIH9sU7,Martin Garrix,Animals (Extended),2013-01-01,1,2
Centuries,04aAxqtGp5pv12UXAg4pkq,Fall Out Boy,American Beauty/American Psycho,2015-01-20,11,4
Beggin For Thread,4PvD06Pmbm2rHG2JjSlElF,Banks,Goddess (Deluxe),2014-01-01,18,0
I Like,2KqyIbbCPKhNfqqzUVq9H9,Jeremih,All About You,2010-01-01,11,0
The Devil Is A Lie,1FfxSgLHUkNCCLdZ7wrCTY,Rick Ross,Mastermind (Deluxe),2014-01-01,19,0
Paradise - Extended,1o8jNa1Rsgh0iI9KQKRDHN,Big Sean,Dark Sky Paradise,2015-02-24,12,0
Trouble,3MPZOtMvBoxAIRUkgux87d,Iggy Azalea,Reclassified,2014-10-24,12,0
Here I Am,67yGTWcR72BZvsrSS2dHST,Rick Ross,Trilla,2008-01-01,15,0
Black Skinhead,722tgOgdIbNe3BEyLnejw4,Kanye West,Yeezus,2013-01-01,10,1
The Night Is Still Young,4bBrKDo8rchikwZOtmXbIH,Nicki Minaj,The Pinkprint (Deluxe),2014-12-15,19,1
No Love,7ewfvLrlI0VNht4vEnoTMh,August Alsina,No Love (Remix),2014-08-05,1,1
Jump (feat. Nelly Furtado),4uGucgzv0ydi35DgAlsTQ4,Flo Rida,R.O.O.T.S. (Route Of Overcoming The Struggle),2009-03-30,13,0
Walk Thru (feat. Problem),5259GVdvIOBkcqo6L2i9qw,Rich Homie Quan,I Promise I Will Never Stop Going In (Deluxe Edition),2014-02-28,16,0
Cheerleader - Felix Jaehn Remix Radio Edit,023OVLNzXhX0j7CxswUt6D,OMI,Me 4 U,2015-10-16,14,3
We Still In This Bitch (feat. T.I. and Juicy J),63ZKUKbwb6Zozlk8LJCiPB,B.o.B,We Still In This Bitch (feat. T.I.and Juicy J),2013-01-08,1,1
Crash And Burn,2Fk0WwAqTBesLtKg97nojy,Thomas Rhett,Tangled Up,2015-09-25,13,1
Fire N Gold,7xAdO0zdl7lGf0ecg4IGhQ,Bea Miller,Not An Apology,2015-01-01,11,0
So Cold,3xXKwkmkrpZmGpIof83xbE,Breaking Benjamin,Shallow Bay: The Best Of Breaking Benjamin (Explicit),2011-01-01,15,1
Sun Daze,0El2Zyt68nYySFDG87hZgM,Florida Georgia Line,Anything Goes,2014-10-14,12,1
Down To Earth,1q9pBaYcydq7LyYwD8SEBs,Justin Bieber,My World,2009-01-01,7,0
How He Loves,6WSFMa721PvfnspCRsGOMh,David Crowder Band,Church Music,2009-09-18,17,1
"Honey, I'm Good.",4MflGTO2ZTcSQ12bWcyRgI,Andy Grammer,Magazines Or Novels,2014-08-05,11,3
Ain’t Worth The Whiskey,4B1FxT0hP5dMWL64ubGR6P,Various Artists,NOW That's What I Call Country #1s,2016-11-04,18,1
Bonfire,4zGvb8hxGLB2jEPRFiRRqw,Childish Gambino,Camp,2011-01-01,13,0
IV. Sweatpants,2rmq49FcJ4U3wh1Z7C9UxE,Childish Gambino,Because The Internet,2013-01-01,19,0
Meanwhile Back At Mama's,2rO28hRLDbsenVjeWvwqQz,Tim McGraw,Sundown Heaven Town (Deluxe Edition),2014-01-01,18,1
Wake Me Up,4h8VwCb1MTGoLKueQ1WgbD,Avicii,True,2013-01-01,12,6
The Nights,0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Days / Nights,2014-01-01,4,0
Rewind,6eZP01jERQt27Ggq7kpEf9,Rascal Flatts,Rewind,2014-01-01,13,1
"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,Various Artists,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),2013-01-01,59,8
Title,0k5hoseEJnCAbpRh38dNoI,Meghan Trainor,Title (Deluxe),2015-01-09,15,0
All Night,15iosIuxC3C53BgsM5Uggs,Icona Pop,THIS IS... ICONA POP,2013-08-27,11,0
Somebody,7ioiB40H9xKs04QtIso2I3,Natalie La Rose,Somebody,2014-01-06,1,2
Only,4MRT0dDbhqFKl67WzhUbSw,Nicki Minaj,The Pinkprint (Deluxe),2014-12-15,19,3
Cut Her Off,2Vevs2eAQNNb7NTpKj5kqA,K CAMP,In Due Time,2014-04-22,8,1
Fireflies,3DamFFqW32WihKkTVlwTYQ,Owl City,Ocean Eyes,2009-01-01,12,7
Feds Watching,07RXBKfyCYIYRMLCvlGWXU,2 Chainz,B.O.A.T.S. II #METIME (Deluxe),2013-01-01,17,0
Numb - Bonus Track,71pc8Waeq1YtmcOKLEF3dK,August Alsina,Testimony,2014-01-01,15,0
Wicked Games,6VwBbL8CzPiC4QV66ay7oR,The Weeknd,Trilogy,2012-01-01,30,2
Girl In A Country Song,1GRiBe0kNCNYpjwCHIyynI,Maddie & Tae,Start Here,2015-06-02,11,1
"Jesus, Take the Wheel",3lec3CzDPAxsZokPph5w87,Carrie Underwood,Some Hearts,2005-11-14,14,3
All-American Girl,2dRPQFwPqAmc42mDRnsDQu,Carrie Underwood,Carnival Ride,2007-10-22,13,2
Blown Away,0vFMQi8ZnOM2y8cuReZTZ2,Carrie Underwood,Blown Away,2012-05-01,14,3
Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,Carrie Underwood,Some Hearts,2005-11-14,14,5
Wasted,5d98TnYzxQmFE4vKgzWXuT,Carrie Underwood,Some Hearts,2005-11-14,14,1
Little Toy Guns,4lnnde7PnrXR3pUzQKBe6X,Carrie Underwood,Greatest Hits: Decade #1,2014-12-09,25,0
See You Again,7jP7iCJ1cXVXYHWIkYtP6d,Carrie Underwood,Blown Away,2012-05-01,14,1
Skinny Love,4RL77hMWUq35NYnPLXBpih,Birdy,Birdy,2011-11-04,11,1
Shotgun Rider,3LbvNFkqDTrE1liGMmZBDL,Tim McGraw,Sundown Heaven Town,2014-01-01,13,1
If Heaven Wasn't So Far Away,0aW7CSfoMBKBzLE7VerHyn,Justin Moore,Outlaws Like Me,2011-01-01,13,1
Only One,0j35X8cTq543QDYLOyqB8W,Kanye West,Only One,2015-01-08,1,0
2 Reasons (feat. T.I.),6lgzJuBX3iqevLdtgNlyAU,Trey Songz,Chapter V (Deluxe),2012-08-17,20,0
Dangerous (feat. Sam Martin),2w2lfwoTELQyN940qM7Nfd,David Guetta,Listen (Deluxe),2014-11-24,18,0
All Day,79reBHqpRoWXaQbjBBY3UC,Kanye West,All Day,2015-03-02,1,0
E.T.,36ux3YuUsGTWPT8fXclS45,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,2012-03-12,19,8
Misery Business,6SpLc7EXZIPpy0sVko0aoU,Paramore,RIOT!,2007-06-11,12,3
She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,5 Seconds of Summer,5 Seconds Of Summer,2014-01-01,16,2
Talking Body,2tpfxAXiI52znho4WE3XFA,Tove Lo,Queen Of The Clouds,2014-09-24,19,2
My Songs Know What You Did In The Dark (Light Em Up),7s0lDK7y3XLmI7tcsRAbW0,Fall Out Boy,Save Rock And Roll,2013-01-01,11,5
Birthday,2xLOMHjkOK8nzxJ4r6yOKR,Katy Perry,PRISM (Deluxe),2013-01-01,16,1
Jealous - Remix,5NQJnRpJHRaupdegphntQT,Nick Jonas,Nick Jonas X2,2015-11-20,21,3
Life Of The Party,14hJ5tc1VCFMWhVn9axRTC,Shawn Mendes,Handwritten,2015-04-14,13,1
Still Into You,1yjY7rpaAQvKwpdUliHx0d,Paramore,Paramore,2013-04-05,17,2
Homegrown,1qwnPVOIJjAFfCc40Etb1D,Zac Brown Band,JEKYLL + HYDE,2015-04-28,16,1
Heartbeat Song,7FC9Lng8iXU081lbigu8m8,Kelly Clarkson,Piece By Piece (Deluxe Version),2015-02-27,16,1
Daft Punk,6ukvsBzq4d1vBsAUmz7ZVt,Pentatonix,"PTX, Vol. 2",2013-11-05,9,0
Amen - feat. Drake,32UIpKdyGzgTPTO8e5ge5c,Meek Mill,Dreams and Nightmares (Deluxe Version),2012-10-26,16,0
Na Na,5maiP9UMnTSgoxPX8X3bdz,Trey Songz,Trigga,2014-07-01,13,1
Heart Attack,1J36RjF8Mx8Yp2QWvFSPmv,Trey Songz,Heart Attack,2012-03-26,1,1
Then,3XKbdb9GB6u3hsnUklQTav,Brad Paisley,American Saturday Night,2009-06-25,15,2
Mud On the Tires,2rQyI7A1yTvTXJ9J4qFmmN,Brad Paisley,Hits Alive,2010-11-02,25,1
Ticks,736KP0gdltJQWPKk0wVL7l,Brad Paisley,5th Gear,2007,19,1
Say Aah - feat. Fabolous,2fQ6sBFWaLv2Gxos4igHLy,Trey Songz,Ready (Deluxe),2009-08-31,20,2
When I Get Where I'm Going (feat. Dolly Parton),3VLCtStwYsAL4LKZgeUvy3,Brad Paisley,Time Well Wasted,2005-08-15,21,1
Never Grow Up,74WBGgUnpKrJXt6TETfR6Z,Taylor Swift,Speak Now (Deluxe Edition),2010,20,0
Lights - Single Version,7gUpO6td4OOnu0Lf9vhcIV,Ellie Goulding,Lights,2010,11,5
Budapest,7q0aQpiLv5tIsupcgQ3Ny4,George Ezra,Wanted on Voyage,2015-01-20,12,1
It Goes Like This,6GsAD8PgHxmEuIPTG8GP3M,Thomas Rhett,It Goes Like This,2013-01-01,12,2
Si Tu Novio Te Deja Sola,2joKSGkqac0LIwYG9Ghrwq,J Balvin,Si Tu Novio Te Deja Sola,2017-03-03,1,0
Tranquila,2biG396b4oY4gHJJRtjUIo,J Balvin,La Familia,2013-01-01,15,1
arms,5u0YB9bpmgEPS2bPhwfRFV,Christina Perri,lovestrong.,2011-05-10,13,1
Yo Te Lo Dije,7syG2WcnpcoJvxSZT9VbAa,J Balvin,La Familia,2013-01-01,15,2
My Kind Of Crazy,4FcOYKkhIXgvO787zu0Cxy,Brantley Gilbert,Halfway To Heaven (Deluxe Edition),2010,15,0
Carolina,7JKUEuxOW5NNieEjoW59sH,Parmalee,Feels Like Carolina,2013-12-10,12,1
Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,TALKING IS HARD,2014-11-24,12,3
Shower,3DmW6y7wTEYHJZlLo1r6XJ,Becky G,Shower,2014-04-23,1,2
Awake and Alive,0nkzd3yNniB767zSDDdLZ3,Skillet,Awake,2009-08-21,12,1
Something Beautiful,6iz58z2LC8uHL3H2aiwX6I,NEEDTOBREATHE,The Outsiders,2009-08-21,14,0
Radioactive,4G8gkOterJn0Ywt6uhqbhp,Imagine Dragons,Night Visions,2012-01-01,12,10
Lose My Soul - Afterparty Interlude,2DNJ7NAr5IN9BPrKyKx7Gb,TobyMac,Portable Sounds (With Bonus Remixes),2008-01-01,15,0
Right Round,3GpbwCm3YxiWDvy29Uo3vP,Flo Rida,R.O.O.T.S. (Route Of Overcoming The Struggle),2009-03-30,13,6
You Da One,3Yt9lRtS5V4nbJnwcgFgvC,Rihanna,Talk That Talk,2011-11-19,11,2
SOS,30cSNer6TV8x2utjULVeQ5,Rihanna,A Girl Like Me,2006-04-10,13,2
Unfaithful,13xxBnXOuiBxVxJI458B0i,Rihanna,A Girl Like Me,2006-04-10,13,3
Only Girl (In The World),6jAsmDJI8iPhGWtS27kZ67,Rihanna,Loud,2010-11-15,11,6
Talk That Talk,57mKcbEq7nMqtJ4gqJvWcp,Rihanna,Talk That Talk,2011-11-19,11,1
Shut Up And Drive,4Tn2llBm1g0UlWctmgPL8Z,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,15,2
Beautiful Things,06wxyCQFJOT0bjvSPMQj7x,Gungor,Beautiful Things,2010,13,0
Cheers (Drink To That),46MDLc0Yip6xCMSsdePOAU,Rihanna,Loud,2010-11-16,11,2
ROCKSTAR 101,5rXDTihGQ3TkYE3pmraAmH,Rihanna,Rated R,2009-11-20,13,1
Break It Off,4PgtB6Sul8WDTRZCe5e8St,Rihanna,A Girl Like Me,2006-04-10,13,0
Pour It Up,76VtA90NKurNqaQpV126Ue,Rihanna,Unapologetic (Deluxe),2012-12-11,17,2
Rude Boy,60jzFy6Nn4M0iD1d94oteF,Rihanna,Rated R,2009-11-20,13,5
California King Bed,2dPOobBArCJotBAs0ThXqL,Rihanna,Loud,2010-11-15,11,2
Hard,3YJkAQNEhmCZGLdmPsu6Ye,Rihanna,Rated R,2009-11-20,13,2
Right Now,28OX5qT45GZBuu8CNKBOj6,Rihanna,Unapologetic (Deluxe),2012-12-11,17,0
Where Have You Been,5WQQIDU3HRaMyPkob8mpFb,Rihanna,Talk That Talk,2011-11-18,11,4
If It's Lovin' That You Want,4x2rgtSFOI4hRvEvDj02KP,Rihanna,Music Of The Sun,2005-08-29,13,0
Man Down,454h9zAIuTe1eJyw9iTnj4,Rihanna,Loud,2010-11-16,11,2
We Found Love,6qn9YLKt13AGvpq9jfO8py,Rihanna,Talk That Talk,2011-11-18,11,9
Te Amo,4YYHgF9dWyVSor0GtrBzdf,Rihanna,Rated R,2009-11-20,13,0
Rehab,5X3ahLXhOw16BR09GjYPUT,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,15,2
My Savior My God,1syFMBjjRvL3uReOM8yWEb,Aaron Shust,Anything Worth Saying,2005-08-23,12,0
We Ride,0EIsxWGPSte4cAHZw5aXr4,Rihanna,A Girl Like Me,2006-04-10,13,0
Hate That I Love You,7iu0WYLdo4yksKf3seaxzI,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,15,2
BO$$,1COvXs6jaykXC73h9OSBVM,Fifth Harmony,Reflection (Deluxe),2015-01-30,14,1
