track,track_id,artist,album,release_date,total_tracks
A Donde Voy (feat. Daddy Yankee),5rKEC4enuOXJ37zx9OCz2G,Cosculluela,A Donde Voy (feat. Daddy Yankee),2016-05-13,1
Flatliner (feat. Dierks Bentley),0WyFpxYlBCgH1gMXd26OOr,Cole Swindell,You Should Be Here,2016-05-06,12
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,American Teen,2017-04-27,15
Manicomio,7lKP7GE00s56ude4dGvULy,Cosculluela,Blanco Perla,2016-10-14,16
These Days,5tsI3xxDHDgzHhn30LTQNz,Mike Stud,This Isn't The Album,2015-10-30,8
Bounce Back,0SGkqnVQo9KPytSri1H6cF,Big Sean,I Decided.,2017-02-03,14
Through The Storm,2u6XJ2PPaCyyRJqC0x6TMH,YoungBoy Never Broke Again,Through The Storm,2018-06-08,1
Blue Cheese,67gmXPQZL1ISSh13OJJ1Pu,2 Chainz,Pretty Girls Like Trap Music,2017-06-16,16
Impatient,3WjyiSbfR74pjWXQ3IaFKJ,Jeremih,Late Nights: The Album,2015-12-04,15
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Purpose (Deluxe),2015-11-13,19
Barbie Tingz,2qsQ8eVDPmobZpvDxQCVQu,Nicki Minaj,Barbie Tingz,2018-04-12,1
Playinwitme (feat. Kehlani),4F1yvJfQ7gJkrcgFJQDjOr,KYLE,Light of Mine,2018-05-18,15
S&M,2u02eLj96Atd6TBxkH9YvN,Rihanna,Loud,2010-11-15,11
Voice of Truth,4G29gmjS7Z2nEFeM7FA6wx,Casting Crowns,Casting Crowns,2003-10-07,10
Bounce Out With That,2iWEpiPiIPf5D4f2UGBlrZ,YBN Nahmir,Bounce Out With That,2018-05-18,1
Hey Ma,0Uhnzk5zI46IRlQ04LNOtc,Cam’ron,Come Home With Me,2002-01-01,15
Wanted,0p1BcEcYVO3uk4KDf3gzkY,Hunter Hayes,Hunter Hayes (Encore),2011,17
Gorgeous,23SZWX2IaDnxmhFsSLvkG2,Kanye West,My Beautiful Dark Twisted Fantasy,2010-01-01,13
Do I Make You Wanna,3I7krC8kr0gFR7P6vInR1I,Billy Currington,Summer Forever,2015-06-02,12
Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,Freaky Friday (feat. Chris Brown),2018-03-15,1
Gucci Flip Flops (feat. Lil Yachty),3hv6ndi7uFT9L9wrhQCsqY,Bhad Bhabie,15,2018-09-18,15
Let You Down,52okn5MNA47tk87PeZJLEL,NF,Perception,2017-10-06,16
No Effort,6iF5JgF1GNUQwlnsgnMzUu,Tee Grizzley,My Moment,2017-04-07,13
Need You Now,11EX5yhxr9Ihl3IN1asrfK,Lady Antebellum,Need You Now,2010-01-01,11
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,FRIENDS,2018-02-09,1
Play No Games,3rsOs39rDAYxIOrDTHAgR9,Big Sean,Dark Sky Paradise,2015-02-24,12
Redeemed,7zuwaenG5AF0vG7o7kMduX,Big Daddy Weave,Love Come To Life,2012-04-17,12
That Don't Sound Like You,2l1fWY1albInvAG9t8WP2p,Lee Brice,I Don't Dance (Deluxe Edition),2014-09-09,16
Honky Tonk Badonkadonk,1VdHooAMVaGXPSty8pifv9,Trace Adkins,Dangerous Man,2006-01-01,13
