genres,followers,artists
"['alternative metal', 'canadian pop', 'canadian rock', 'nu metal', 'post-grunge']",3091177,Nickelback
"['album rock', 'art rock', 'dance rock', 'glam rock', 'new wave', 'permanent wave', 'protopunk', 'rock']",3102991,David Bowie
['wrestling'],230349,WWE
"['latin', 'latin hip hop', 'pop reggaeton', 'reggaeton', 'tropical']",393293,Angel Y Khriz
"['alternative metal', 'canadian punk', 'nu metal', 'pop punk', 'post-grunge', 'punk']",1723324,Sum 41
"['dance rock', 'new romantic', 'new wave pop']",154479,Boy George
"['canadian country', 'contemporary country', 'country', 'country road']",29136,Paul Brandt
"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",1982837,Breaking Benjamin
"['deep pop r&b', 'detroit hip hop', 'pop', 'r&b', 'rap', 'trap music', 'trap queen']",912959,DeJ Loaf
"['australian dance', 'australian pop', 'dance pop', 'pop']",8276914,Sia
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'world worship', 'worship']",298941,Matt Redman
['lo-fi beats'],15986,Floreyyyy
"['house', 'pop']",1449401,Disclosure
"['neo mellow', 'pop', 'pop quebecois', 'pop rap', 'pop rock', 'post-teen pop']",2380096,Train
['pop'],497074,Echosmith
['lo-fi beats'],1515,Kavv
"['deep underground hip hop', 'indie pop rap']",11672,Ekoh
"['dance pop', 'dance rock', 'europop', 'mellow gold', 'new wave pop', 'permanent wave', 'pop rock', 'soft rock']",648592,Cyndi Lauper
['electropop'],358381,Marian Hill
"['dance pop', 'electropop', 'indie poptimism', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",107863,Tove Styrke
"['deep trap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap music']",807094,Lil Durk
"['dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1490100,Ludacris
"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",1076199,DMX
"['rap', 'trap music', 'vapor trap']",1108988,YBN Nahmir
['dubstep product'],5967,Blackburner
"['anthem emo', 'pop punk']",92733,AS IT IS
"['album rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",1626993,Journey
"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'pop quebecois', 'tropical']",7409846,Enrique Iglesias
"['banda', 'duranguense', 'grupera', 'latin metal', 'norteno', 'regional mexican']",179054,Laberinto
"['permanent wave', 'pop punk', 'punk', 'rock']",7445290,Green Day
"['dance pop', 'deep pop r&b', 'hip pop', 'indie r&b', 'pop', 'r&b', 'rap', 'trap queen', 'urban contemporary']",556811,Sevyn Streeter
"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",3992352,Ne-Yo
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1622055,The Game
"['dance pop', 'electropop', 'indie poptimism', 'metropopolis', 'pop', 'post-teen pop']",1337485,Marina and the Diamonds
"['ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']",1733436,Hillsong United
"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']",5526907,The Rolling Stones
"['contemporary country', 'country', 'country road', 'modern country rock']",1518408,Dierks Bentley
"['indie folk', 'neo mellow', 'pop']",1838091,Passenger
"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'rock steady', 'soul', 'urban contemporary']",208449,The Whispers
"['cubaton', 'dance pop', 'latin', 'latin hip hop', 'latin pop', 'pop', 'reggaeton', 'tropical']",999617,Gente De Zona
"['melodic metalcore', 'metalcore', 'rap metal', 'screamo', 'trancecore']",992756,Asking Alexandria
"['alternative metal', 'gothic symphonic metal', 'melodic metalcore', 'nu metal', 'post-grunge', 'rap metal']",544683,In This Moment
"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",3143558,Don Omar
"['latin', 'latin hip hop', 'pop', 'reggaeton', 'reggaeton flow', 'tropical']",1922166,Alexis y Fido
"['banda', 'cumbia', 'cumbia sonidera', 'grupera', 'norteno', 'regional mexican']",97508,Grupo Kual?
"['alternative dance', 'aussietronica', 'australian dance', 'deep australian indie', 'indietronica', 'nu disco']",283375,Flight Facilities
"['gospel', 'naija worship']",73642,Tasha Cobbs Leonard
"['big room', 'dance pop', 'edm', 'electro house', 'indie poptimism', 'pop', 'tropical house']",137022,Gryffin
"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",494949,SoMo
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",185975,Mandisa
"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap']",1693718,Akon
"['adult standards', 'christmas', 'easy listening', 'lounge']",2435952,Frank Sinatra
[],111569,Cherub
"['dance pop', 'folk-pop', 'indie pop', 'indie r&b', 'indietronica', 'metropopolis', 'modern rock', 'pop']",712839,HAIM
"['dance pop', 'edm', 'pop', 'post-teen pop', 'r&b', 'swedish electropop', 'swedish pop', 'tropical house']",3508209,Zara Larsson
"['modern alternative rock', 'modern rock', 'nu gaze', 'pop', 'shiver pop']",2513251,The 1975
"['neo mellow', 'pop']",1102476,Kodaline
"['alternative metal', 'groove metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",1217177,Stone Sour
['indie rock'],2028258,alt-J
"['contemporary country', 'country', 'country road', 'modern country rock']",499820,Big & Rich
"['bachata', 'latin', 'papuri', 'tropical']",26422,Henry Santos
[],13,Papa Crow
"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",1528277,Thalía
"['folk-pop', 'pop']",3988875,Florence + The Machine
['pop'],11613828,Adele
"['dance pop', 'electropop', 'indie pop', 'indie poptimism', 'modern rock', 'pop']",567771,BØRNS
"['dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']",849460,MØ
"['deep pop r&b', 'drill', 'r&b', 'trap music', 'trap queen']",310921,Dreezy
"['neo soul', 'pop', 'r&b', 'urban contemporary']",4301236,John Legend
"['australian alternative rock', 'australian dance', 'downtempo', 'edm', 'pop']",1586556,Flume
"['contemporary country', 'country', 'country road', 'lift kit', 'modern country rock', 'outlaw country', 'red dirt', 'redneck', 'texas country']",177046,Granger Smith
['tropical house'],253962,Mr. Probz
"['deep trap', 'dwn trap', 'rap', 'southern hip hop', 'trap music']",301564,Dae Dae
"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']",3434423,Iggy Azalea
"['hip hop', 'indie r&b', 'lgbtq+ hip hop', 'neo soul', 'pop', 'rap']",3744678,Frank Ocean
"['indie r&b', 'neo soul', 'pop', 'r&b', 'uk contemporary r&b']",571276,Jorja Smith
"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']",2275280,Afrojack
"['dance pop', 'pop']",7042761,Justin Timberlake
"['hip hop', 'underground hip hop']",178554,Casey Veggies
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'world worship', 'worship']",508181,Kari Jobe
[],3655,The Blasting Company
"['christmas', 'jazz blues', 'neo soul', 'soul', 'soul jazz', 'vocal jazz']",1175507,Nina Simone
"['alternative pop rock', 'emo', 'neo mellow', 'pixie', 'pop emo', 'pop punk']",231167,A Rocket To The Moon
"['acoustic pop', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'indiecoustica', 'neo mellow', 'pop rock', 'worship']",433184,NEEDTOBREATHE
"['acoustic pop', 'ectofolk', 'folk-pop', 'indiecoustica', 'lilith', 'neo mellow', 'pop', 'pop rock']",518966,Ingrid Michaelson
"['garage rock', 'indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'punk blues', 'rock']",1261699,Cage The Elephant
"['folk-pop', 'indie folk', 'indie pop', 'modern rock', 'stomp and holler']",2730310,The Lumineers
"['acoustic pop', 'folk-pop', 'indie folk', 'indiecoustica', 'neo mellow', 'pop rock', 'viral pop']",275025,Joshua Radin
"['alternative dance', 'aussietronica', 'deep australian indie', 'edm', 'tropical house']",289316,RÜFÜS DU SOL
"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",247856,Jana Kramer
"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']",1367355,R3HAB
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",388253,Craig Morgan
['dance pop'],239059,Alexandra Stan
"['alternative dance', 'indie pop', 'indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'pop', 'rock']",1477447,Two Door Cinema Club
"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal']",1802531,3 Doors Down
"['canadian pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'viral pop']",2904672,Carly Rae Jepsen
"['french hip hop', 'trap francais']",178643,Kalash
"['chilean indie', 'chilean rock', 'latin alternative', 'latintronica', 'nueva cancion', 'rap chileno']",198736,Ana Tijoux
['gospel'],228514,Tamela Mann
"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'christian rock', 'worship']",121517,Hollyn
"['album rock', 'blues-rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",2612045,Jimi Hendrix
"['dance pop', 'pop rap', 'reggae fusion']",1007832,Shaggy
"['permanent wave', 'soft rock']",987351,Sting
"['austindie', 'indie pop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock']",54652,Max Frost
"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",678540,Daya
"['pop punk', 'post-teen pop']",1745313,All Time Low
"['canadian folk', 'canadian indie']",136883,The Strumbellas
['pinoy hip hop'],208993,Silentó
"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",4575098,50 Cent
"['dancehall', 'reggae fusion']",231731,Popcaan
['pop'],436682,Mark Ronson
['pop'],184843,Dawin
[],18150,Cupid
"['electropop', 'indie poptimism', 'indietronica']",138257,Ryn Weaver
"['canadian pop', 'indie poptimism', 'modern alternative rock', 'modern rock']",52884,Coleman Hell
"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",3717687,Slipknot
"['bass trap', 'brostep', 'edm', 'electronic trap', 'vapor twitch']",145484,Keys N Krates
"['hip hop', 'pop rap', 'rap']",2672480,Kid Cudi
"['acoustic pop', 'folk-pop', 'indiecoustica', 'neo mellow', 'pop rock']",210530,Matt Nathanson
"['dance pop', 'indie pop rap', 'indie poptimism', 'pop', 'pop rap', 'post-teen pop', 'tropical house']",241373,Timeflies
"['alternative metal', 'neo mellow', 'nu metal', 'pop rock', 'post-grunge']",957009,Daughtry
['deep southern trap'],38446,Young Greatness
['neo soul'],38017,Conya Doss
"['conscious hip hop', 'hip hop', 'pop', 'pop rap', 'rap']",6451425,J. Cole
"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",1568800,Shinedown
"['post-screamo', 'screamo']",326937,I Prevail
"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",1170530,Omarion
"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",189313,Pastor Troy
"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']",2478006,Hardwell
['pop'],248927,Niykee Heaton
"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",1437298,B.o.B
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",3681362,Black
"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'modern rock', 'nu metal', 'post-grunge', 'rock']",1536184,Soundgarden
"['bow pop', 'compositional ambient']",1249987,Ludovico Einaudi
"['edm', 'pop', 'tropical house']",3759696,Kygo
"['contemporary country', 'country', 'country road', 'modern country rock']",974727,Jake Owen
"['adult standards', 'cabaret', 'christmas', 'cool jazz', 'easy listening', 'jazz', 'lounge', 'soul', 'swing', 'vocal jazz']",97011,Julie London
"['neo mellow', 'pop']",2018395,James Bay
"['dance pop', 'pop punk', 'pop rap']",891452,Gym Class Heroes
['neo soul'],234730,Gnarls Barkley
"['album rock', 'classic rock', 'rock', 'roots rock', 'southern rock']",2077418,Creedence Clearwater Revival
"['dance pop', 'pop', 'post-teen pop']",11678682,Selena
"['indie pop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'neo mellow', 'piano rock', 'pop rock']",110003,Andrew McMahon in the Wilderness
"['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']",660262,Grouplove
['k-pop'],396848,Stray Kids
"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']",3471850,Nick Jonas
"['latin', 'reggaeton']",10857671,J Balvin
"['conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",1921566,N.W.A.
"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",1126291,Nelly
"['cumbia', 'dance pop', 'electro latino', 'latin', 'latin hip hop', 'latin pop', 'pop', 'pop reggaeton', 'reggaeton', 'tropical']",1242326,Chino & Nacho
['mexican pop'],1245889,Carla Morrison
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",724308,Plies
[],5098,Josiah and the Bonnevilles
[],281,Michael Aristotle
"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']",292936,Thelonious Monk
"['dirty south rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap music']",498487,Fat Joe
"['australian pop', 'dance pop', 'desi', 'indian pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",708389,Jay Sean
"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']",1876722,Kevin Roldan
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",859409,Bone Thugs-N-Harmony
"['dance pop', 'pop', 'post-teen pop', 'viral pop']",678773,Rachel Platten
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1327911,Waka Flocka Flame
"['contemporary country', 'country', 'country road', 'lift kit', 'modern country rock']",154542,Canaan Smith
"['dance pop', 'electro latino', 'latin', 'latin pop', 'pop', 'tropical']",1078849,Juan Magán
"['dance pop', 'girl group', 'pop', 'post-teen pop', 'r&b', 'talent show']",4606065,Little Mix
"['downtempo', 'dream pop', 'indietronica', 'modern rock', 'pop']",2965775,The xx
"['garage rock', 'indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'piano rock', 'rock', 'stomp and holler']",455209,Cold War Kids
"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",1008755,The Goo Goo Dolls
"['contemporary country', 'country', 'country road', 'modern country rock']",433936,Gary Allan
['pop rock'],281578,Elle King
"['dance pop', 'europop', 'hip pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'r&b', 'urban contemporary']",2481297,Gwen Stefani
"['deep underground hip hop', 'indie pop rap']",58024,Ivan B
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",711059,Rodney Atkins
[],85373,Mary Lambert
['pop rap'],2239931,Macklemore & Ryan Lewis
"['dance pop', 'pop rap']",359243,Nico & Vinz
"['alternative dance', 'australian dance', 'dance-punk', 'electropop', 'indie pop', 'indietronica', 'modern rock', 'neo-synthpop', 'new rave', 'pop']",707749,Empire of the Sun
"['contemporary country', 'country', 'modern country rock']",303259,Maddie & Tae
"['alternative metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",784249,Killswitch Engage
"['neo mellow', 'piano rock', 'pop', 'pop rock']",2021982,The Fray
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",440224,Randy Houser
"['deep southern trap', 'dirty south rap', 'gangster rap', 'pop rap', 'southern hip hop', 'trap music']",90656,MJG
"['underground hip hop', 'vapor trap']",42692,Thouxanbanfauni
"['australian pop', 'dance pop', 'idol', 'pop', 'post-teen pop']",772034,Adam Lambert
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",553249,Montgomery Gentry
[],20153,Ghost Town DJs
['neo mellow'],2164251,Jack Johnson
"['latin', 'latin pop', 'salsa', 'tropical']",2493368,Marc Anthony
"['deep groove house', 'edm', 'house', 'tropical house']",52394,The Magician
"['banda', 'grupera', 'norteno', 'regional mexican']",1830108,La Arrolladora Banda El Limón De Rene Camacho
[],95396,iLoveMemphis
"['candy pop', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'indie r&b', 'metropopolis', 'pop', 'post-teen pop', 'tropical house']",1237280,Charli XCX
"['alternative metal', 'alternative rock', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'post-grunge', 'rock']",330642,Silversun Pickups
"['candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'swedish electropop', 'swedish synthpop']",604339,Icona Pop
"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock', 'rock']",1367712,Snow Patrol
"['contemporary country', 'country', 'country road', 'modern country rock']",202107,Frankie Ballard
"['acoustic pop', 'dance pop', 'folk-pop', 'lilith', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",964499,Sara Bareilles
"['modern alternative rock', 'modern rock']",186820,KONGOS
"['dance pop', 'pop', 'pop rap', 'tropical house', 'uk contemporary r&b']",216193,Naughty Boy
"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'tropical house']",5355122,Ellie Goulding
[],134125,T-Wayne
"['acoustic pop', 'anthem worship', 'christian uplift', 'folk-pop', 'indiecoustica', 'stomp and holler']",121697,Josh Garrels
"['anthem worship', 'canadian ccm', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'world worship', 'worship']",173171,Matt Maher
[],933,"Juvenile, Wacko, & Skip"
"['german pop', 'modern rock']",994479,Milky Chance
"['deep pop r&b', 'r&b']",126246,Adrian Marcel
['vapor trap'],10236,DC The Don
['focus'],1610,Piotr Miteska
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'indiecoustica', 'world worship', 'worship']",235430,Phil Wickham
"['contemporary jazz', 'jazz saxophone']",180048,Kamasi Washington
"['alternative metal', 'emo', 'modern rock', 'pop punk', 'screamo']",307593,Coheed and Cambria
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",168693,Building 429
"['contemporary country', 'country', 'country gospel', 'country road', 'country rock', 'nashville sound', 'outlaw country', 'traditional country']",452733,Randy Travis
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",163178,Brandon Heath
"['alternative r&b', 'dance pop', 'electropop', 'indie poptimism', 'indie r&b', 'indietronica', 'pop', 'tropical house', 'vapor soul']",701642,Banks
"['glam metal', 'rock']",4270641,Bon Jovi
"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",704251,A Perfect Circle
[],81884,Tessa Violet
"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",42840,Naked Eyes
"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'rap', 'urban contemporary']",502532,Faith Evans
"['dance pop', 'deep pop r&b', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",1407847,August Alsina
['dance pop'],394753,OMI
"['dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'talent show', 'viral pop']",866622,Bea Miller
"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",258809,David Crowder Band
"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']",2263556,Alesso
"['broadway', 'christmas', 'hollywood', 'movie tunes', 'show tunes']",163059,Idina Menzel
"['pop', 'pop punk', 'pop rock', 'post-teen pop']",1537488,Owl City
"['alternative americana', 'folk-pop', 'new americana']",73239,Valerie June
"['neo mellow', 'pop']",2386516,Birdy
['neo-singer-songwriter'],1340291,George Ezra
"['contemporary country', 'country', 'country road', 'lift kit', 'modern country rock', 'modern uplift']",84993,Parmalee
"['indie pop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pop', 'pop rock']",1062448,WALK THE MOON
"['acoustic pop', 'dreamo', 'folk-pop', 'pop']",536183,Sleeping At Last
"['ccm', 'christian alternative rock', 'christian music', 'christian uplift', 'deep ccm', 'indiecoustica', 'worship']",145704,Gungor
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'rock cristiano', 'world worship', 'worship']",98751,Aaron Shust
"['abstract hip hop', 'alternative hip hop', 'hip hop', 'pop rap', 'underground rap']",51880,Zion I
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'indiecoustica', 'neo mellow', 'worship']",25922,JJ Heller
"['big room', 'brostep', 'dance pop', 'edm', 'house', 'pop', 'trance', 'tropical house']",3679947,Tiësto
"['indie garage rock', 'indie psych-rock', 'ok indie']",36277,BRONCHO
"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'shimmer pop']",230164,Atlas Genius
"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'pop']",299024,MisterWives
"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",940622,Hopsin
"['dance pop', 'indie pop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pop']",261357,Bleachers
"['folk-pop', 'modern rock', 'neo mellow']",4590042,Mumford & Sons
['australian pop'],183573,Sheppard
"['australian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",495240,Rixton
"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'post-grunge', 'redneck']",211926,Aaron Lewis
"['deep pop r&b', 'southern hip hop', 'trap music']",45108,TK Kravitz
"['brooklyn indie', 'metropopolis']",59671,Big Data
['karaoke'],1269,Mega Tracks Karaoke Band
"['alternative pop rock', 'pixie', 'pop emo', 'pop punk']",94966,The Downtown Fiction
[],7211,Sam Lee
"['brooklyn indie', 'indie poptimism', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop', 'pop rock']",628309,American Authors
"['latin hip hop', 'mexican hip hop', 'rock en espanol']",2919805,Cartel De Santa
"['neo mellow', 'pop', 'pop rock', 'viral pop']",2051510,Boyce Avenue
"['comic', 'otacore', 'video game music']",192655,Ninja Sex Party
"['acoustic pop', 'dance pop', 'folk-pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",1222875,Colbie Caillat
"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",1590682,Mary J. Blige
['edm'],31169,Dynoro
"['dance pop', 'pop', 'pop rap']",2500586,Pharrell Williams
"['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2536087,T.I.
[],1,Rhonda High Browne
"['celtic rock', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'viral pop']",4166408,The Script
"['modern rock', 'permanent wave', 'piano rock', 'post-grunge', 'rock']",4168735,Muse
"['alternative metal', 'doom metal', 'funk rock', 'groove metal', 'grunge', 'hard rock', 'metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock', 'sludge metal', 'stoner metal', 'stoner rock']",101904,Corrosion Of Conformity
"['emo', 'neo mellow', 'pixie', 'pop emo', 'pop punk', 'pop rock']",38955,Quietdrive
"['dance pop', 'europop', 'pop']",753947,MIKA
"['boy band', 'dance pop', 'europop', 'pop']",1597212,Backstreet Boys
"['indie pop', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop', 'pop punk', 'pop rock', 'post-teen pop']",657156,Neon Trees
['neo soul'],5011912,Amy Winehouse
"['electropop', 'indietronica', 'metropopolis', 'modern rock', 'neo-synthpop', 'shimmer pop']",871078,CHVRCHES
"['la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp pop']",1177321,AWOLNATION
"['alternative hip hop', 'escape room', 'hip hop', 'rap']",462283,Run The Jewels
"['aussietronica', 'brostep', 'edm', 'electronic trap', 'escape room']",241265,Alison Wonderland
"['gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",542046,Rich Gang
"['contemporary country', 'country', 'country road', 'traditional country']",917563,George Strait
"['a cappella', 'college a cappella']",46730,BYU Vocal Point
"['pop', 'rap']",248191,The Carters
['underground hip hop'],1043345,$uicideBoy$
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",568300,Kip Moore
"['australian pop', 'dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",567451,MKTO
"['melodic metalcore', 'metalcore', 'pop punk', 'rap metal', 'rock', 'screamo']",1992359,Bring Me The Horizon
"['dance pop', 'deep pop r&b', 'electropop', 'indie r&b', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",1150849,Tinashe
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",461804,Chase Rice
[],230788,Kiesza
"['alternative dance', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'swedish alternative rock', 'swedish indie pop']",219427,Peter Bjorn and John
"['art rock', 'blues-rock', 'british blues', 'british invasion', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'protopunk', 'psychedelic rock', 'rock', 'rock-and-roll']",89355,The Spencer Davis Group
"['aussietronica', 'deep australian indie']",42178,Golden Features
"['hip hop', 'rap', 'underground hip hop']",2231527,"Tyler, The Creator"
['pop'],891417,MAGIC!
"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",6639465,Arctic Monkeys
"['alternative metal', 'danish metal', 'nu metal', 'post-grunge']",1011249,Volbeat
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",467431,Colt Ford
"['chamber pop', 'folk-pop', 'indie folk', 'new americana']",14107,Austin Basham
"['dance pop', 'pop', 'post-teen pop', 'teen pop', 'viral pop']",1350415,Austin Mahone
['pop'],500762,John Newman
['sleep'],16218,Traditional
[],496,Wilson Brothers Band
"['deep underground hip hop', 'underground hip hop']",57408,Alex Wiley
"['ccm', 'christian alternative rock', 'christian music', 'christian relaxative', 'christian rock', 'worship']",111276,"Phillips, Craig & Dean"
"['drill', 'lgbtq+ hip hop', 'underground hip hop']",67325,Taylor Bennett
['lo-fi beats'],11327,Souly Had
['christian uplift'],51646,Citizens
"['contemporary country', 'country', 'country road', 'lift kit', 'modern country rock', 'redneck']",273914,Jerrod Niemann
"['acoustic pop', 'neo mellow', 'pop rock', 'post-grunge']",303301,Rob Thomas
"['neo mellow', 'pop punk', 'pop rock']",531011,Plain White T's
"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",188879,Soft Cell
"['art pop', 'chillwave', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'new rave', 'portland indie']",336462,Unknown Mortal Orchestra
