genres,followers,artists
"['folk-pop', 'funk', 'new americana']",283882,Nathaniel Rateliff & The Night Sweats
['reggae rock'],430639,Rebelution
"['contemporary country', 'country road', 'deep talent show', 'modern country rock']",69700,Morgan Wallen
"['dance pop', 'latin', 'latin pop', 'pop', 'tropical']",1012362,Nacho
"['colombian pop', 'latin pop']",3966237,Sebastian Yatra
['emo rap'],4298155,Lil Pump
"['brazilian hardcore', 'hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge']",44508,H2O
[],5912,Cast Of “Mamma Mia! Here We Go Again”
"['dance pop', 'pop', 'post-teen pop', 'r&b']",11120616,Demi Lovato
"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",4040888,Halsey
"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk funky']",1571704,Clean Bandit
"['dance pop', 'pop', 'post-teen pop']",6395534,Dua Lipa
"['underground hip hop', 'vapor trap']",98671,Shoreline Mafia
"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",657715,Halestorm
['bow pop'],1206346,Lindsey Stirling
"['deep pop r&b', 'r&b', 'rap', 'urban contemporary']",318463,Tank
"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'talent show', 'viral pop']",3905426,Kelly Clarkson
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",4972100,21 Savage
"['battle rap', 'rap', 'southern hip hop']",90619,Swizz Beatz
['contemporary country'],54231,Jordan Davis
"['album rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",610288,Daryl Hall & John Oates
"['alternative dance', 'chillwave', 'electropop', 'indie pop', 'indie r&b', 'indie rock', 'indietronica', 'metropopolis', 'modern rock', 'new rave', 'shimmer pop']",442512,Phantogram
"['dance pop', 'pop', 'post-teen pop']",15416153,Taylor Swift
"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",2559274,Troye Sivan
"['modern alternative rock', 'modern rock', 'pop', 'stomp pop']",1214717,X Ambassadors
"['alternative metal', 'metalcore', 'pixie', 'pop punk', 'rap metal', 'screamo']",608401,Escape the Fate
"['modern rock', 'pop punk', 'post-grunge', 'rock']",1949459,Thirty Seconds To Mars
"['hip hop', 'pop rap', 'rap']",3863163,Childish Gambino
"['alternative metal', 'post-grunge', 'rap metal']",308390,Starset
"['hip hop', 'indie r&b', 'pop rap', 'rap', 'southern hip hop', 'trap music']",650685,DRAM
"['pop', 'rap', 'trap music']",7396318,Migos
[],4691,Ivy Adara
[],292,Various Artists
"['regional mexican', 'regional mexican pop']",556359,Crecer German
"['pop', 'rap']",7342719,Post Malone
"['canadian hip hop', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",1686525,Tory Lanez
['post-teen pop'],1506596,Dove Cameron
['pop'],671365,Calum Scott
